a blacksmith shop	ᎦᏅᏆᎶᏍᎩᎢ	[ganv:gwa:lò:sgi̋:ʔi]  (single noun) /ced/
necklace	ᎠᏯᏟᏗ	[á:hyahldi]  (single noun) /ced/
necklace	ᏗᏯᏟᏗ	[dí:hyahldi]  (plural noun) /ced/
necktie	ᎠᏯᏢᏗ	[a:hyadlv̋:di]  (single noun) /ced/
necktie	ᏗᏯᏢᏗ	[di:hyadlv̋:di]  (plural noun) /ced/
needle	ᏴᎩ	[yv:gi]  (single noun) /ced/
Negro	ᎠᎬᎿᎨᎢ	[agv̌:hnáge̋:ʔi]  (single noun) /ced/
Negro	ᎠᏂᎬᎿᎨᎢ	[ani:gv̌:hnáge̋:ʔi]  (plural noun) /ced/
nest	ᎧᏁᏍᏓᏝᎲᎢ	[kaně:sdâ:hlahv̋:ʔi]  (single noun) /ced/
nest	ᏕᎧᏁᏍᏓᏝᎲᎢ	[dě:káně:sdâ:hlahv̋:ʔi]  (plural noun) /ced/
never	Ꮭ ᎢᎸᎯᏳ	[hlá ilv̌:híyu] (adj/adv) /ced/
new	ᎢᏤᎢ	[ije̋:ʔi] (adj/adv)  (inanimate) /ced/
new	ᏗᏤᎢ	[di:je̋:ʔi]  (inanimate) (plural adj/adv) /ced/
New Mexico	ᏍᏆᏂᏤᏍᏛᎢ	[Sgwǎ:níjè:sdv̋:ʔi]  (single noun) /ced/
New York	ᏄᏯᎩ	[Nǔ:yá:gi]  (single noun) /ced/
news	ᎧᏃᎮᏓ	[kano:hě:da]  (single noun) /ced/
next morning	ᎤᎩᏨᏓ ᎢᏴᎢ	[U:gijv̋:da iyv̋:ʔi] (adj/adv) /ced/
night	ᎤᏒᎢ	[usv̋:ʔi]  (single noun) /ced/
night before last	ᏒᎯ ᎤᏒᎢ	[sv:hi usv̀:ʔi] (adj/adv) /ced/
Nighthawk	ᎠᏒᏃᏱ	[Asv:nǒ:yi]  (single noun) /ced/
Nighthawk	ᎠᏂᏒᏃᏱ	[Ani:sv:nǒ:yi]  (plural noun) /ced/
nightly	ᏧᎵᏏᏅᏓ	[julsihnv̋:da] (adj/adv) /ced/
nine	ᏐᏁᎳ	[sóhně:la] (adj/adv) /ced/
ninth	ᏐᏁᎵᏁᎢ	[sóhne:li:ne̋:ʔi] (adj/adv) /ced/
no	Ꮭ	[hla, tla] (adj/adv) /ced/
no one	Ꮭ ᎩᎶ	[hlá kilo] /ced/
nodding his head	ᎠᎵᏍᎫᏍᎦ	[àlsgû:sga]  (he is) (3rd/present continuous) /ced/
nodding his head	ᎦᎵᏍᎫᏍᎦ	[galì:sgû:sga]  (he is) (1st/present continuous) /ced/
nodding his head	ᎤᎵᏍᎫᏴᎢ	[ùlsgû:hyv̌:ʔi]  (he is) (3rd/remote past) /ced/
nodding his head	ᎠᎵᏍᎫᏍᎪᎢ	[àlsgû:sgó:ʔi]  (he is) (3rd/habitual) /ced/
nodding his head	ᎭᎵᏍᎫᏯ	[halsgù:hya]  (he is) (2nd/immediate) /ced/
nodding his head	ᎤᎵᏍᎫᏍᏗ	[ulsgù:sdi]  (he is) (3rd/deverbal) /ced/
nonbeliever	ᎤᏜᏏᏛᎡᎯ	[u:dlà:sǐ:tv́ʔe̋:hi]  (single noun) /ced/
nonbeliever	ᎤᎾᏜᏏᏛᎡᎯ	[u:nadlà:sǐ:tv́ʔe̋:hi]  (plural noun) /ced/
north	ᏧᏴᏢᎢ	[jǔ:hyv́:dlv̋:ʔi]  (single noun) /ced/
North Carolina	ᏣᎳᎫᏪᏘᎢ	[Jalagúwe:ti̋:ʔi]  (single noun) /ced/
nose	ᎧᏴᏐᎵ	[kayv:ső:li]  (his) (single noun) /ced/
not	Ꮭ	[hla, tla] (adj/adv) /ced/
not having any luck hunting	ᎤᏉᎴᎦ	[ù:kwǒ:lê:ga]  (he is) (3rd/present continuous) /ced/
not having any luck hunting	ᎠᎩᏉᎴᎦ	[à:gikwǒ:lê:ga]  (he is) (1st/present continuous) /ced/
not having any luck hunting	ᎤᏉᎸᏒᎢ	[ù:kwǒ:lv̂:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
not having any luck hunting	ᎤᏉᎴᎪᎢ	[ù:kwǒ:lê:gó:i]  (he is) (3rd/habitual) /ced/
not having any luck hunting	ᏣᏉᎷᎦ	[jakwo:lù:ga]  (he is) (2nd/immediate) /ced/
not having any luck hunting	ᎤᏉᎸᏍᏗ	[u:kwǒ:lv̂:sdi]  (he is) (3rd/deverbal) /ced/
not long ago	ᎩᎳ	[kila̋] (adj/adv) /ced/
nothing	Ꮭ ᎪᎱᏍᏗ	[hlá go:hű:sdi] /ced/
November	ᏅᏓᏕᏆ	[Nv:dadě:gwa]  (single noun) /ced/
now	ᏃᏊ	[nǒ:gwu] (adj/adv) /ced/
nowhere	Ꮭ ᎢᎸᏢ	[hlá ilv́hdlv] (adj/adv) /ced/
nowhere	Ꮭ Ꮲ	[hlá dlv̋] (adj/adv) /ced/
numb	ᎤᏩᏒᎯ	[uwà:sv̋:hi] (adj/adv) /ced/
numb	ᏧᏩᏒᎯ	[juwà:sv̋:hi]  (plural adj/adv) /ced/
numbers	ᏗᏎᏍᏗ	[di:sésdi]  (single noun) /ced/
o'clock	ᎢᏳᏩᏂᎸᎢ	[iyúwa:hnilv̋:ʔi]  (single noun) /ced/
oar	ᎦᎦᏪᏍᏗ	[ga:gawě:sdi]  (single noun) /ced/
oar	ᏗᎦᎦᏪᏍᏗ	[diga:gawě:sdi]  (plural noun) /ced/
object	ᎠᏍᏆᏞᎠ	[à:sgwâ:hleʔa]  (he is) (3rd/present continuous) /ced/
object	ᏥᏍᏆᏞᎠ	[jì:sgwâ:hleʔa]  (he is) (1st/present continuous) /ced/
object	ᎤᏍᏆᏞᏒᎢ	[ù:sgwâ:hlè:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
object	ᎠᏍᏆᏞᏍᎪᎢ	[à:sgwâ:hlè:sgó:ʔi]  (he is) (3rd/habitual) /ced/
object	ᎯᏍᏆᏝᎩ	[hì:sgwà:hlagi]  (he is) (2nd/immediate) /ced/
object	ᎤᏍᏆᏞᏍᏗ	[u:sgwà:hlè:sdi]  (he is) (3rd/deverbal) /ced/
ocean	ᎠᎺᏉᎢ	[amé:gwő:ʔi]  (single noun) /ced/
October	ᏚᏂᏂᏗ	[Dù:ninhdi]  (single noun) /ced/
officer	ᎠᏍᎦᏰᎬᏍᏓ	[asgaye:gv̌:sda]  (single noun) /ced/
officer	ᎠᏂᏍᎦᏰᎬᏍᏓ	[ani:sgaye:gv̌:sda]  (plural noun) /ced/
offspring	ᎤᏪᏥ	[uwě:ji]  (his) (single noun) /ced/
offspring	ᏧᏪᏥ	[juwě:ji]  (his) (plural noun) /ced/
often	ᎢᏳᏓᎵ	[iyú:da̋:li]  (single noun) /ced/
oil	ᎪᎢ	[goʔi]  (single noun) /ced/
oiling it	ᎦᎶᏁᎠ	[galǒ:néʔa]  (he is) (3rd/present continuous) /ced/
oiling it	ᏥᎶᏁᎠ	[jilǒ:né:ʔa]  (he is) (1st/present continuous) /ced/
oiling it	ᎤᎶᏁᎥᎢ	[ù:lǒ:néʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
oiling it	ᎦᎶᏁᏍᎪᎢ	[galǒ:nê:sgó:ʔi]  (he is) (3rd/habitual) /ced/
oiling it	ᎯᎶᎾ	[hilǒ:na]  (he is) (2nd/immediate) /ced/
oiling it	ᎤᎶᏁᏗ	[u:lǒ:nê:di]  (he is) (3rd/deverbal) /ced/
okay	ᎰᏩ	[howa] /ced/
Oklahoma	ᎣᎦᎳᎰᎹ	[O:gala:hǒ:ma]  (single noun) /ced/
old	ᎠᎦᏴᎵ	[agayv̋:li] (adj/adv)  (animate) /ced/
old	ᎠᏂᎦᏴᎵ	[ani:gayv̋:li]  (animate) (plural adj/adv) /ced/
old	ᎤᏪᏘ	[uwe̋:ti] (adj/adv)  (object) /ced/
old	ᏧᏪᏘ	[juwe̋:ti]  (object) (plural adj/adv) /ced/
old chap	ᎤᏛᎯᏍᏗ	[u:tvhisdi]  (of men) (single noun) /ced/
old chap	ᏧᎾᏛᎯᏍᏗ	[ju:natvhisdi]  (of men) (plural noun) /ced/
old man	ᎤᏛᏐᏅᎢ	[u:tvso:hnv̋:ʔi]  (single noun) /ced/
old man	ᏧᎾᏛᏐᏅᎢ	[ju:natvsohnv̋:ʔi]  (plural noun) /ced/
old woman	ᎠᎦᏴᎵᎨᎢ	[agayv̌:líge̋:ʔi]  (single noun) /ced/
old woman	ᎠᏂᎦᏴᎵᎨᎢ	[ani:gayv̌:líge̋:ʔi]  (plural noun) /ced/
oldest member of family	ᎤᏓᏂᎳᎨᎢ	[u:da:hnǐ:lágé:ʔi]  (single noun) /ced/
oldest member of family	ᎤᎾᏓᏂᎳᎨᎢ	[u:nada:hnǐ:lágé:ʔi]  (plural noun) /ced/
omitting him or it	ᎯᏃᎯᏯ	[hì:no:hǐ:ya] (in.)  (he is) (2nd/immediate) /ced/
omitting him or it	ᎯᏃᎯᏯ	[hihno:hǐ:ya] (an.)  (he is) (2nd/immediate) /ced/
omitting him or it	ᎧᏃᎯᏯᎭ	[kanǒ:hí:yaʔha]  (he is) (3rd/present continuous) /ced/
omitting him or it	ᏥᏃᎯᏯᎠ	[jì:nǒ:hí:yaʔa]  (he is) (1st/present continuous) /ced/
omitting him or it	ᎤᏃᎯᏴᎢ	[ù:hnǒ:hí:yv̌:ʔi]  (he is) (3rd/remote past) /ced/
omitting him or it	ᎧᏃᎯᏯᏍᎪᎢ	[kanǒ:hí:yà:sgó:ʔi]  (he is) (3rd/habitual) /ced/
omitting him or it	ᎤᏃᎯᏯᏍᏗ	[u:hnǒ:hí:yà:sdi]  (he is) (3rd/deverbal) /ced/
on a chair	ᎦᏍᎩᎸᎢ	[ga:sgilv̋:ʔi] (adj/adv) /ced/
on foot	ᎡᎳᏗ	[e:ladi] (adj/adv) /ced/
on the ground	ᎦᏙᎯ	[ga:dő:hi] (adj/adv) /ced/
on the moon	ᏅᏙᎯ	[nv:dő:hi] (adj/adv) /ced/
on top	ᎦᏚ	[gadú] (adj/adv) /ced/
one	ᏌᏊ	[sà:gwű] (adj/adv) /ced/
one day	ᏏᎦ	[si̋:ga] (adj/adv) /ced/
one dollar	ᎤᏃᏍᏓ	[u:hnő:sda]  (single noun) /ced/
one hundred	ᏍᎪᎯᏥᏆ	[sgǒ:hítsgwa] (adj/adv) /ced/
one matter	ᏑᏓᎴᎩ	[su:dale̋:gi]  (single noun) /ced/
one month	ᏏᏅᏓ	[si:nv̋:da] (adj/adv) /ced/
one person	ᎠᏏᏴᏫ	[asiyv̋:wi]  (single noun) /ced/
one person	ᎠᏂᏏᏴᏫᎭ	[ani:siyv:wi:ha]  (plural noun) /ced/
one that kills	ᏗᎯᎯ	[dí:hihi]  (single noun) /ced/
one that kills	ᏗᏂᎯᎯ	[di:ní:hihi]  (plural noun) /ced/
one topic	ᏑᏓᎴᎩ	[su:dale̋:gi]  (single noun) /ced/
one week	ᏒᎾᏙᏓᏆᏍᏗ	[sv:nadǒ:dagwà:sdi]  (single noun) /ced/
one who distributes	ᎠᏯᏙᎯᎯ	[áyà:tohihi]  (single noun) /ced/
one who distributes	ᎠᏂᏯᏙᎯᎯ	[anǐ:yà:tohihi]  (plural noun) /ced/
one-fourth	ᎩᏄᏘᏗ	[gi:nű:tdi]  (single noun) /ced/
onion	ᏒᎩ	[sv̀:gi]  (single noun) /ced/
only	ᎤᏩᏌ	[uwa̋:sa] (adj/adv) /ced/
only	ᎤᏅᏌ	[u:nv̋:sa]  (plural adj/adv) /ced/
open	ᎤᎵᏍᏚᎢᏓ	[ulsdu:ʔi̋:da] (adj/adv) /ced/
open	ᏧᎵᏍᏚᎢᏓ	[julsduʔi̋:da]  (plural adj/adv) /ced/
opening it	ᎠᏍᏚᎢᎠ	[à:sdúʔiʔa]  (he is) (3rd/present continuous) /ced/
opening it	ᏥᏍᏚᎢᎠ	[jì:sdúʔiʔa]  (he is) (1st/present continuous) /ced/
opening it	ᎤᏍᏚᎢᏒᎢ	[ù:sdúʔì:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
opening it	ᎠᏍᏚᎢᏍᎪᎢ	[à:sdúʔì:sgó:ʔi]  (he is) (3rd/habitual) /ced/
opening it	ᎯᏍᏚᎢ	[hisduʔi]  (he is) (2nd/immediate) /ced/
opening it	ᎤᏍᏚᎢᏍᏗ	[u:sduʔì:sdi]  (he is) (3rd/deverbal) /ced/
operating on him	ᎯᏰᎳᎦ	[hì:ye:laga] (in.)  (he is) (2nd/immediate) /ced/
operating on him	ᎯᏰᎳᎦ	[hihye:laga] (an.)  (he is) (2nd/immediate) /ced/
operating on him	ᎠᏰᏠᎭ	[à:hyě:hlóha]  (he is) (3rd/present continuous) /ced/
operating on him	ᏥᏰᏠᎭ	[jì:yě:hlóha]  (he is) (1st/present continuous) /ced/
operating on him	ᎤᏰᏝᎸᎢ	[ù:hyě:hlálv̌:ʔi]  (he is) (3rd/remote past) /ced/
operating on him	ᎠᏰᏠᎰᎢ	[à:hyě:hlóhó:ʔi]  (he is) (3rd/habitual) /ced/
operating on him	ᎤᏰᎵᏍᏗ	[u:hyě:lsdi]  (he is) (3rd/deverbal) /ced/
opposite side	ᏍᎪᏂ	[skoni]  (of a body of water) (single noun) /ced/
or	ᎠᎴ	[ale] /ced/
ordained minister	ᎤᏓᏂᎳᎨᎢ	[u:da:hnǐ:lá:gé:ʔi]  (single noun) /ced/
ordained minister	ᎤᎾᏓᏂᎳᎨᎢ	[u:nada:hnǐ:lágé:ʔi]  (plural noun) /ced/
ordering it	ᎠᏓᏅᏍᎦ	[à:danv̌:sga]  (he is) (3rd/present continuous) /ced/
ordering it	ᎦᏓᏅᏍᎦ	[gadanv́:sga]  (he is) (1st/present continuous) /ced/
ordering it	ᎤᏓᏅᏒᎢ	[ù:danv̌:sv́:ʔi]  (he is) (3rd/remote past) /ced/
ordering it	ᎠᏓᏅᏍᎪᎢ	[à:danv̌:sgóʔi]  (he is) (3rd/habitual) /ced/
ordering it	ᎭᏓᏅᎳ	[hadanv̌:la]  (he is) (2nd/immediate) /ced/
ordering it	ᎤᏓᏅᏍᏗ	[u:danv̌:sdi]  (he is) (3rd/deverbal) /ced/
outside	ᏙᏱ	[dǒ:yi] (adj/adv) /ced/
oven	ᏗᎦᏘᏗᎢ	[digà:tdi̋:ʔi]  (single noun) /ced/
over there	ᎠᎨ	[á:ge̋] (adj/adv) /ced/
over-taking him or it	ᎦᎶᎯᏎᎭ	[galo:hiséha]  (he is) (3rd/present continuous) /ced/
over-taking him or it	ᏥᎶᎢᏎᎭ	[ji:loʔiséha]  (he is) (1st/present continuous) /ced/
over-taking him or it	ᎤᎶᎯᏎᎸᎢ	[ù:lo:hisě:lv́:ʔi]  (he is) (3rd/remote past) /ced/
over-taking him or it	ᎦᎶᎯᏎᎰᎢ	[galo:hisě:hó:ʔi]  (he is) (3rd/habitual) /ced/
over-taking him or it	ᎯᎶᎢᏏ	[hi:loʔisi]  (he is) (2nd/immediate) /ced/
over-taking him or it	ᎤᎶᎯᏎᏗ	[u:lo:hiséhdi]  (he is) (3rd/deverbal) /ced/
overnight	ᏑᏒᎯᏓ	[su:sv̌:hida] (adj/adv) /ced/
overseas	ᏍᎪᏂᏱ	[skonǐ:yi] (adj/adv) /ced/
owl	ᏩᎱᎯ	[wǎ:húhi]  (single noun) /ced/
oyster	ᏓᎬᎾ	[dagv̌:na]  (single noun) /ced/
paddle	ᎦᎦᏪᏍᏗ	[ga:gawě:sdi]  (single noun) /ced/
paddle	ᏗᎦᎦᏪᏍᏗ	[diga:gawě:sdi]  (plural noun) /ced/
paddling	ᎦᎦᏪᏍᎦ	[ga:gawě:sga]  (he is) (3rd/present continuous) /ced/
paddling	ᏥᎦᏪᏍᎦ	[ji:gawé:sga]  (he is) (1st/present continuous) /ced/
paddling	ᎤᏩᎦᏪᏒᎢ	[ù:wa:gawě:sv́:ʔi]  (he is) (3rd/remote past) /ced/
paddling	ᎦᎦᏪᏍᎪᎢ	[ga:gawě:sgóʔi]  (he is) (3rd/habitual) /ced/
paddling	ᎯᎦᏪᎯ	[hi:gawě:hi]  (he is) (2nd/immediate) /ced/
paddling	ᎤᏩᎦᏪᏍᏗ	[uwa:gawě:sdi]  (he is) (3rd/deverbal) /ced/
padlock	ᏓᎩᏏ	[daksi]  (single noun) /ced/
page	ᎤᎦᏅᏓᏛᎢ	[ù:ganhdáʔdv̋:ʔi]  (single noun) /ced/
page	ᏚᎦᏅᏓᏛᎢ	[dù:ganhdáʔdv̋:ʔi]  (plural noun) /ced/
pain	ᎠᎩᏟᏱ	[agi:hli̋:yi]  (single noun) /ced/
pain	ᎠᎩᏟᏲᎦ	[à:gi:hlǐ:yô:ga]  (he is) (3rd/present continuous) /ced/
pain	ᏥᎩᎵᏲᎦ	[jigì:lǐ:yô:ga]  (he is) (1st/present continuous) /ced/
pain	ᎤᎩᏟᏲᏨᎢ	[ù:gi:hlǐ:yô:jv̌:ʔi]  (he is) (3rd/remote past) /ced/
pain	ᎠᎩᏟᏲᎪᎢ	[à:gi:hlǐ:yô:gó:ʔi]  (he is) (3rd/habitual) /ced/
pain	ᎯᎩᏟᏲᎩ	[higi:hli:yò:gi]  (he is) (2nd/immediate) /ced/
pain	ᎤᎩᏟᏲᏍᏗ	[u:gi:hlǐ:yó:sdi]  (he is) (3rd/deverbal) /ced/
paint	ᏗᏑᏫᏍᏗ	[di:sǔ:hwísdi]  (single noun) /ced/
painting it	ᎠᏑᏫᏍᎦ	[à:sǔ:hwísga]  (he is) (3rd/present continuous) /ced/
painting it	ᏥᏑᏫᏍᎦ	[jì:sǔ:hwísga]  (he is) (1st/present continuous) /ced/
painting it	ᎤᏑᏫᏒᎢ	[ù:sǔ:hwísv̌:ʔi]  (he is) (3rd/remote past) /ced/
painting it	ᎠᏑᏫᏍᎪᎢ	[à:sǔ:hwísgó:ʔi]  (he is) (3rd/habitual) /ced/
painting it	ᎯᏑᏩ	[hisǔ:hwa]  (he is) (2nd/immediate) /ced/
painting it	ᎤᏑᏫᏍᏗ	[u:sǔ:hwísdi]  (he is) (3rd/deverbal) /ced/
pantry	ᏗᎦᎾᏐᏗᎢ	[digansò:di̋:ʔi]  (single noun) /ced/
pants	ᎠᏑᎶ	[à:su:lo]  (single noun) /ced/
pants	ᏗᏑᎶ	[dì:su:lo]  (plural noun) /ced/
pants	ᎤᏑᎶ	[ù:su:lo]  (his) (single noun) /ced/
pants	ᏧᏑᎶ	[jù:su:lo]  (his) (plural noun) /ced/
paper	ᎪᏪᎵ	[go:hwe:li]  (single noun) /ced/
paper	ᏗᎪᏪᎵ	[digo:hwe:li]  (plural noun) /ced/
papers	ᏗᎪᏪᎵ	[digo:hwe:li]  (single noun) /ced/
part	ᎤᎬᎭᏟ	[u:gv̌:hahli] (adj/adv) /ced/
part	ᎤᎾᎬᎭᏟ	[u:nagv̌:hahli]  (plural adj/adv) /ced/
parting with him	ᎬᏕᎦ	[kdé:ga]  (he is) (in death) (3rd/present continuous) /ced/
parting with him	ᏥᏴᏕᎦ	[ji:yv̀:dé:ga]  (he is) (in death) (1st/present continuous) /ced/
parting with him	ᎤᏮᏕᏨᎢ	[ùwhdé:jv̌:i]  (he is) (in death) (3rd/remote past) /ced/
parting with him	ᎬᏕᎪᎢ	[kdé:gó:ʔi]  (he is) (in death) (3rd/habitual) /ced/
parting with him	ᎯᏴᏕᎩ	[hi:yv̀:dè:gi]  (he is) (in death) (2nd/immediate) /ced/
parting with him	ᎤᏮᏕᎢᏍᏗ	[uwhde:ʔísdi]  (he is) (in death) (3rd/deverbal) /ced/
passing by without stopping	ᎦᎶᏍᎦ	[galo:sga]  (he is) (3rd/present continuous) /ced/
passing by without stopping	ᏥᎶᏍᎦ	[jilò:sga]  (he is) (1st/present continuous) /ced/
passing by without stopping	ᎤᎶᏒᎢ	[ù:lo:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
passing by without stopping	ᎦᎶᏍᎪᎢ	[galo:sgó:ʔi]  (he is) (3rd/habitual) /ced/
passing by without stopping	ᎯᎶᎯ	[hilǒ:hi]  (he is) (2nd/immediate) /ced/
passing by without stopping	ᎤᎶᎯᏍᏗ	[u:lo:hisdi]  (he is) (3rd/deverbal) /ced/
passing it	ᎦᎶᏍᎦ	[galo:sga]  (he is) (test, exam, etc.) (3rd/present continuous) /ced/
passing it	ᏥᎶᏍᎦ	[jilò:sga]  (he is) (test, exam, etc.) (1st/present continuous) /ced/
passing it	ᎤᎶᏒᎢ	[ù:lo:sv̌:ʔi]  (he is) (test, exam, etc.) (3rd/remote past) /ced/
passing it	ᎦᎶᏍᎪᎢ	[galo:sgó:ʔi]  (he is) (test, exam, etc.) (3rd/habitual) /ced/
passing it	ᎯᎶᎯ	[hilǒ:hi]  (he is) (test, exam, etc.) (2nd/immediate) /ced/
passing it	ᎤᎶᎯᏍᏗ	[u:lo:hisdi]  (he is) (test, exam, etc.) (3rd/deverbal) /ced/
Passover supper	ᎧᏃᎯᏰᎩ	[Kanǒ:hí:ye̋:gi]  (single noun) /ced/
pasture	ᏠᎨᏏ	[dlo:ge̋:si]  (single noun) /ced/
patient	ᎤᏢᎩ	[u:dlv̋:gi]  (single noun) /ced/
patient	ᏧᏂᏢᎩ	[ju:ni:dlv̋:gi]  (plural noun) /ced/
paying	ᎠᏈᏱᎭ	[à:kwiyíha]  (he is) (3rd/present continuous) /ced/
paying	ᎦᏈᏱᎭ	[gagwiyíha]  (he is) (1st/present continuous) /ced/
paying	ᎤᏈᏴᎲᎢ	[ù:kwiyv:hv̌:ʔi]  (he is) (3rd/remote past) /ced/
paying	ᎠᏈᏱᏍᎪᎢ	[à:kwiyǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
paying	ᎭᏈᏯ	[hakwiya]  (he is) (2nd/immediate) /ced/
paying	ᎤᏈᏴᏗ	[u:kwiyhdi]  (he is) (3rd/deverbal) /ced/
paying him	ᎠᏈᏴᎡᎭ	[à:kwiyv́:ʔe:ha]  (he is) (3rd/present continuous) /ced/
paying him	ᏥᏯᏈᏴᎡᎭ	[ji:yagwiyv́:ʔe:ha]  (he is) (1st/present continuous) /ced/
paying him	ᎤᏈᏴᎡᎸᎢ	[ù:kwiyv́:ʔe:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
paying him	ᎠᏈᏴᎡᎰᎢ	[à:kwiyv́:ʔe:hó:ʔi]  (he is) (3rd/habitual) /ced/
paying him	ᎯᏯᏈᏴᏏ	[hi:yagwiyv̀:si]  (he is) (2nd/immediate) /ced/
paying him	ᎤᏈᏴᎡᏗ	[u:kwiyv:ʔéhdi]  (he is) (3rd/deverbal) /ced/
peace	ᏅᏩᏙᎯᏯᏓ	[nvwhto:hi:yada]  (single noun) /ced/
peach	ᏆᎾ	[kwana]  (single noun) /ced/
peak	ᎤᏍᎪᎵ	[u:skő:li]  (of object) (single noun) /ced/
peak	ᏧᏍᎪᎵ	[ju:skő:li]  (of object) (plural noun) /ced/
pear	ᏗᎦᏛᏗ	[digadv́:di]  (single noun) /ced/
pearl	ᏓᎬᎾ	[dagv̌:na]  (single noun) /ced/
pecking it	ᏥᏯᏆᏲᎢᎭ	[ji:ya:gwayoʔíha] (an.)  (he is) (1st/present continuous) /ced/
pecking it	ᏥᏆᏲᎢᎭ	[ji:gwayoʔíha] (in.)  (he is) (1st/present continuous) /ced/
pecking it	ᎯᏯᏆᏲᎠ	[hi:ya:gwayoʔa] (in.)  (he is) (2nd/immediate) /ced/
pecking it	ᎯᏆᏲᎭ	[hi:gwayǒ:ha] (an.)  (he is) (2nd/immediate) /ced/
pecking it	ᎦᏆᏲᎯᎭ	[ga:gwayo:híha]  (he is) (3rd/present continuous) /ced/
pecking it	ᎤᏩᏆᏲᏢᎢ	[ù:wa:gwayo:hlv̌:ʔi]  (he is) (3rd/remote past) /ced/
pecking it	ᎦᏆᏲᎯᎰᎢ	[ga:gwayo:hihó:ʔi]  (he is) (3rd/habitual) /ced/
pecking it	ᎤᏩᏆᏲᏍᏗ	[uwa:gwayo:sdi]  (he is) (3rd/deverbal) /ced/
peculiar	ᎠᏎᎩ	[ase̋:gi] (adj/adv) /ced/
peculiar	ᎠᏂᏎᎩ	[ani:se̋:gi]  (plural adj/adv) /ced/
peeking through	ᎠᎦᏘᎭ	[à:ktiha]  (he is) (3rd/present continuous) /ced/
peeking through	ᎦᎦᏘᎭ	[gagà:tiha]  (he is) (1st/present continuous) /ced/
peeking through	ᎤᎦᏔᏅᎢ	[ù:ktahnv̌:ʔi]  (he is) (3rd/remote past) /ced/
peeking through	ᎠᎦᏘᏍᎪᎢ	[à:ktǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
peeking through	ᎭᎦᏔ	[hakta]  (he is) (2nd/immediate) /ced/
peeking through	ᎤᎦᏙᏗ	[u:ktohdi]  (he is) (3rd/deverbal) /ced/
peeling	ᏥᏁᎦᎵᎭ	[ji:né:galíha] (an.)  (he is) (1st/present continuous) /ced/
peeling	ᏥᏁᎦᎵᎭ	[jiné:galíha] (in.)  (he is) (1st/present continuous) /ced/
peeling	ᎯᏁᎦᎳ	[hi:nè:gala] (in.)  (he is) (2nd/immediate) /ced/
peeling	ᎯᏁᎦᎳ	[hinè:gala] (an.)  (he is) (2nd/immediate) /ced/
peeling	ᎦᏁᎦᎵᎭ	[gané:galíha]  (he is) (3rd/present continuous) /ced/
peeling	ᎤᏁᎦᎸᎲᎢ	[ù:né:galv:hv̌:ʔi]  (he is) (3rd/remote past) /ced/
peeling	ᎦᏁᎦᎵᏍᎪᎢ	[gané:galǐ:sgó:ʔi]  (he is) (3rd/habitual) /ced/
peeling	ᎤᏁᎦᎵᏗ	[u:nè:gáhldi]  (he is) (3rd/deverbal) /ced/
peeling it	ᎠᏯᎨᏗᏍᎦ	[à:hyahkě:tsga]  (he is) (3rd/present continuous) /ced/
peeling it	ᏥᏯᎨᏗᏍᎦ	[jì:yahkě:tsga]  (he is) (1st/present continuous) /ced/
peeling it	ᎤᏯᎨᏗᏒᎢ	[ù:hyahkě:tsv́:ʔi]  (he is) (3rd/remote past) /ced/
peeling it	ᎠᏯᎨᏗᏍᎪᎢ	[à:hyahkě:tsgóʔi]  (he is) (3rd/habitual) /ced/
peeling it	ᎯᏯᎨᏗᏌ	[hihyahkě:tsa]  (he is) (2nd/immediate) /ced/
peeling it	ᎤᏯᎨᏗᏍᏗ	[u:hyahkě:tsdi]  (he is) (3rd/deverbal) /ced/
pencil	ᏗᎪᏪᎶᏗ	[digo:hwě:lò:di]  (single noun) /ced/
people	ᎠᏂᏴᏫ	[ani:yv:wi]  (plural noun) /ced/
people	ᎠᏴᏫ	[ayv:wi]  (single noun) /ced/
people	ᏴᏫ	[yv:wi]  (single noun) /ced/
pepper	ᏗᏆᏲᏗ	[di:kwayő:di]  (single noun) /ced/
perch	ᎠᎪᎳ	[ago:la]  (single noun) /ced/
perch	ᎠᏂᎪᎳ	[ani:go:la]  (plural noun) /ced/
performing a baptism	ᏓᏓᏬᎠ	[dà:da:wó:ʔa]  (he is) (3rd/present continuous) /ced/
performing a baptism	ᏕᎦᏓᏬᎠ	[de:gáda:wó:ʔa]  (he is) (1st/present continuous) /ced/
performing a baptism	ᏚᏓᏬᎥᎢ	[dù:da:wó:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
performing a baptism	ᏓᏓᏬᏍᎪᎢ	[dà:da:wó:sgó:ʔi]  (he is) (3rd/habitual) /ced/
performing a baptism	ᏔᏓᏬᏣ	[tadá:wo:ja]  (he is) (2nd/immediate) /ced/
